Date,Beta,P/S,P/B,P/E,EPS,ROE,ROA,ROC
27/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
28/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
29/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
30/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
31/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
1/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
2/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
3/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
4/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
5/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
6/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
7/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
8/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
9/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
10/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
11/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
12/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
13/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
14/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
15/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
16/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
17/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
18/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
19/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
20/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
21/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
22/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
23/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
24/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
25/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
26/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
27/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
28/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
29/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
30/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
31/1/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
1/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
2/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
3/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
4/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
